SKU,Product Id,Status,ProductName,Color,Cut,Material,Gender,BrandSegment,Pillar,MerchPlannerCategory,Sleeve,ProductType,SizeChart,SizeChartMessaging,Price,SalePrice,Description,ActualStartDate,TargetLaunchDate,InitialSeasonLaunch,LifeCycle,InitialPairsOrdered,NikeProductID,InstanceID,FOB,APS,ProdManOnly,MainColorHex,AccentColorHex,X Ref Style,Comments,CORE,dyoVersionProductID,dyoVersionInspirationID,images,page-attributes,bundled-products
W23754,MP_2024,Online,Scoreboard,Bright Orange,,Silicone,Unisex,,Accessories,Watches,Scoreboard,regular,Standard Size Chart,,75,,,,,10 Fall,Runout,,,,,,FALSE,,,VR002-800,pending,N,,,,,
W23752,MP_2024,Online,Scoreboard,White,,Silicone,Unisex,,Accessories,Watches,Scoreboard,regular,Standard Size Chart,,75,,,,,10 Fall,Runout,,,,,,FALSE,,,VR002-150,pending,N,,,,,
W23751,MP_2024,Online,Scoreboard,Black,,Silicone,Unisex,,Accessories,Watches,Scoreboard,regular,Standard Size Chart,,75,,,,,10 Fall,Runout,,,,,,FALSE,,,VR002-001,pending,N,,,,,
SG40820,MP_2050,Online,Pedal,Neon Pink,,,Women,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,8,,,,,FALSE,,,,,N,,,,,
SG40819,MP_2050,Online,Pedal,Black,,,Women,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,12,,,,,FALSE,,,,,N,,,,,
SG40817,,Online,On Your Mark,Black,,,Men,,Accessories,Sunglasses,,regular,Standard Size Chart,,69,0,,,03/01/13,13 Spring,Runout,14,,,,,FALSE,,,,,N,,,,,
SG40816,MP_2022,Online,Master Track,Blue,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,10,,,,,FALSE,,,,,N,,,,,
SG40815,MP_2022,Online,Master Track,Purple,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,16,,,,,FALSE,,,,,N,,,,,
SG40814,MP_2020,Online,Lead Guitar,Green,,,Men,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,4,,,,,FALSE,,,,,N,,,,,
SG40813,MP_2020,Online,Lead Guitar,Black,,,Men,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,10,,,,,FALSE,,,,,N,,,,,
SG40812,,Online,Crowd Surf,Black,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,10,,,,,FALSE,,,,,N,,,,,
SG40811,,Online,Crowd Surf,Matte Crystal,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,,03/01/13,13 Spring,Runout,6,,,,,FALSE,,,,,N,,,,,
SG38519,MP_2022,Online,Master Track,Black/Blue,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,10/03/12,10/01/12,12 Holiday,Runout,24,,,,,FALSE,,,,,N,,,,,
SG38518,MP_2022,Online,Master Track,Black/Neon Pink,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,10/03/12,10/01/12,12 Holiday,Runout,24,,,,,FALSE,,,,,N,,,,,
SG27606,MP_2054,Online,Ticket Holder,Tortoise,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,02/01/11,02/14/11,11 Spring,Runout,,,,,,FALSE,,,,,N,,,,,
SG27605,MP_2054,Online,Ticket Holder,Black,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,,,,,11 Spring,Runout,,,,,,FALSE,,,,pending,N,,,,,
SG27603,,Online,Opening Band,Blue,,,Unisex,,Accessories,Sunglasses,Opening Band,regular,Standard Size Chart,,59,,,,,11 Spring,Runout,,,,,,FALSE,,,,pending,N,,,,,
SG27601,,Online,Front Man,Grey/Orange,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,02/01/11,02/14/11,11 Spring,Runout,,,,,,FALSE,,,,,N,,,,,
SG27599,,Online,Front Man,Black,,,Unisex,,Accessories,Sunglasses,,regular,Standard Size Chart,,59,0,,02/01/11,02/14/11,11 Spring,Runout,,,,,,FALSE,,,,,N,,,,,
SG21016,,Online,Lineup,Glow in the Dark,,,Unisex,,Accessories,Sunglasses,Lineup,regular,Standard Size Chart,,59,,,,,10 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SG21015,,Online,Lineup,Matte Blue,,,Unisex,,Accessories,Sunglasses,Lineup,regular,Standard Size Chart,,59,,,,,10 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SG21014,,Online,Lineup,Black,,,Unisex,,Accessories,Sunglasses,Lineup,regular,Standard Size Chart,,59,,,,,10 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SG21011,MP_2015,Online,Half Stack,Glow in the Dark,,,Unisex,,Accessories,Sunglasses,Half Stack,regular,Standard Size Chart,,59,,,,,10 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SG21010,MP_2015,Online,Half Stack,Black,,,Unisex,,Accessories,Sunglasses,Half Stack,regular,Standard Size Chart,,59,,,,,10 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SA40737,,Online,Star Chevron iPhone Case,Black/Red,,Silicone,Unisex,,Accessories,Accessories,,regular,Standard Size Chart,,20,0,,12/06/12,11/01/12,12 Holiday,Runout,216,,,,,FALSE,,,,,N,,,,,
SA40736,,Online,Cons iPhone Case,Black,,Silicone,Unisex,,Accessories,Accessories,Iphone Case,regular,Standard Size Chart,Runs true to size,20,,,,,12 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SA40735,,Online,Chuck Taylor iPhone Case,Pink,,Silicone,Unisex,,Accessories,Accessories,Iphone Case,regular,Standard Size Chart,Runs true to size,20,,,,,12 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SA40734,,Online,Chuck Taylor iPhone Case,Black,,Silicone,Unisex,,Accessories,Accessories,Iphone Case,regular,Standard Size Chart,Runs true to size,20,,,,,12 Holiday,Runout,,,,,,FALSE,,,,pending,N,,,,,
SA241590,MP_2057,Online,Flat Brimmed Hat,Grey/Burgundy,,Cotton Twill,Unisex,,Accessories,Hat,Flat Brim,regular,Standard Size Chart,Runs true to size,24,,,,,12 Fall,Runout,,,,,,FALSE,,,SA410241,pending,N,,,,,
SA222050,,Online,Chuck Taylor Messenger Bag,Castlerock Grey,,Poly,Unisex,,Accessories,Accessories,Messanger Bag,regular,Standard Size Chart,,50,,,,,12 Fall,Runout,,,,,,FALSE,,,SA410222,pending,N,,,,,
SA222000,,Online,Chuck Taylor Messenger Bag,Phantom Black,,Poly,Unisex,,Accessories,Accessories,Messanger Bag,regular,Standard Size Chart,,50,,,,,12 Fall,Runout,,,,,,FALSE,,,SA410222,pending,N,,,,,
SA219955,,Online,Chuck Taylor Backpack,Exploded Star/Grey,,Poly,Unisex,,Accessories,Bags,,regular,Standard Size Chart,,45,0,,06/29/12,07/24/12,12 Fall,Runout,,,,,,FALSE,,,SA410219,,N,,,,,
SA219455,,Online,Chuck Taylor Backpack,Royal Blue,,Poly,Unisex,,Accessories,Bags,,regular,Standard Size Chart,,45,0,,07/16/12,07/24/12,12 Fall,Runout,,,,,,FALSE,,,SA410219,,N,,,,,
SA219050,,Online,Chuck Taylor Backpack,Castletock Grey/,,Poly,Unisex,,Accessories,Bags,,regular,Standard Size Chart,,45,0,,06/29/12,07/24/12,12 Fall,Runout,,,,,,FALSE,,,SA410219,,N,,,,,
SA219000,,Online,Chuck Taylor Backpack,Phantom Black,,Poly,Unisex,,Accessories,Bags,,regular,Standard Size Chart,,45,0,,06/29/12,07/24/12,12 Fall,Runout,,,,,,FALSE,,,SA410219,,N,,,,,
R516W906,MP_2023,Online,Pembrook Skinny Denim,Treasure,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,54.99,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R310W516,,N,,,,,
R513W076,MP_2023,Online,Pembrook Skinny Denim,Salsoul,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,54.99,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R210W513,,N,,,,,
R513W005,MP_2023,Online,Pembrook Skinny Denim,Black Star,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,54.99,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R410W513,,N,,,,,
R512W905,MP_2023,Online,Pembrook Skinny Denim,Suitor,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,54.99,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R310W512,,N,,,,,
R511M088,,Online,Beacon Straight Denim,Tribal,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,54.99,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R210M511-088,,N,,,,,
R509M983,MP_2029,Online,Wayland Slim Denim,New Barabas,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R210M509-983,,N,,,,,
R506M951,MP_2029,Online,Wayland Slim Denim,Mantas Wash,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,88,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R211M506-951,,N,,,,,
R506M939,MP_2029,Online,Wayland Slim Denim,Sacramento,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R111M506-939,,N,,,,,
R506M902,MP_2029,Online,Wayland Slim Denim,Philander Wash,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R310M506-902,,N,,,,,
R505M918,MP_2029,Online,Wayland Slim Denim,Scarecrow,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R410M505-918,,N,,,,,
R503M094,MP_2106,Online,Hawkins Skinny Denim,Brisbane,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R111M503,,N,,,,,
R502W071,,Online,Copley Rocker Denim,Salsoul Destroyed,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R210W502,,N,,,,,
R502M917,MP_2016,Online,Hawkins Skinny Denim,Riddler,,100% Cotton,Men,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R410M502-917,,N,,,,,
R501W010,,Online,Copley Rocker Denim,Garment Dyed,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R111W501,,N,,,,,
R500W920,,Online,Copley Rocker Denim,Surrealist,,Cotton & Spandex,Women,,Apparel,Pants & Shorts,,regular,Standard Size Chart,,78,0,,08/09/11,08/09/11,11 Fall,Runout,,,,,,FALSE,,,R111W500,,N,,,,,
